,Set,Set code,Pre-release date,Release date,Total Cards,Common,Uncommon,Rare,Mythic Rare,Basic Land,Other
0,Limited Edition Alpha,LEA,none,"August 5, 1993",295,74,95,116,—,10,—
1,Limited Edition Beta,LEB,none,October 1993,302,75,95,117,—,15,—
2,Unlimited Edition,2ED,none,December 1993,302,75,95,117,—,15,—
3,Revised Edition,3ED,none,April 1994,306,75,95,121,—,15,—
4,Fourth Edition,4ED,none,April 1995,378,121,121,121,—,15,—
5,Fifth Edition,5ED,none,"March 24, 1997",449,165,132,132,—,20,—
6,Classic Sixth Edition,6ED,none,"April 28, 1999",350,110,110,110,—,20,—
7,Seventh Edition,7ED,none,"April 11, 2001",350,110,110,110,—,20,—
8,Eighth Edition,8ED,none,"July 28, 2003",357,110,110,110,—,20,7
9,Ninth Edition,9ED,none,"July 29, 2005",359,110,110,110,—,20,9
10,Tenth Edition,10E,none,"July 13, 2007",383,121,121,121,—,20,—
11,Magic 2010,M10,"July 11, 2009","July 17, 2009",249,101,60,53,15,20,—
12,Magic 2011,M11,"July 10, 2010","July 16, 2010",249,101,60,53,15,20,—
13,Magic 2012,M12,"July 9, 2011","July 15, 2011",249,101,60,53,15,20,—
14,Magic 2013,M13,"July 7, 2012","July 13, 2012",249,101,60,53,15,20,—
15,Magic 2014,M14,"July 13, 2013","July 19, 2013",249,101,60,53,15,20,—
16,Magic 2015,M15,"July 12, 2014","July 18, 2014",269,101,80,53,15,20,15
17,Magic Origins,ORI,"July 11, 2015","July 17, 2015",272,101,80,55,16,20,16
18,Core Set 2019,M19,"July 7, 2018","July 13, 2018",280,111,80,53,16,20,—
19,Core Set 2020,M20,"July 5, 2019","July 12, 2019",321,152,86,65,16,20,—
20,Core Set 2021,M21,"June 26, 2020","July 3, 2020",274,111,80,53,15,15,—
1,Arabian Nights,ARN,none,December 1993,92,41,19,32,—,1,—
2,Antiquities,ATQ,none,March 1994,100,30,44,26,—,—,—
3,Legends,LEG,none,June 1994,310,75,114,121,—,—,—
4,The Dark,DRK,none,August 1994,119,40,44,35,—,—,—
5,Fallen Empires,FEM,none,November 1994,187,121,30,36,—,—,—
6,Ice Age,ICE,none,June 1995,383,121,121,121,—,15,—
7,Homelands,HML,"October 14, 1995",October 1995,140,71,27,42,—,—,—
8,Alliances,ALL,"May 18, 1996","June 10, 1996",199,110,43,46,—,—,—
10,Mirage,MIR,"September 21, 1996","October 7, 1996",350,110,110,110,—,20,—
11,Visions,VIS,"January 11, 1997","February 3, 1997",167,62,55,50,—,—,—
12,Weatherlight,WTH,"May 31, 1997","June 9, 1997",167,62,55,50,—,—,—
14,Tempest,TMP,"October 4, 1997","October 13, 1997",350,110,110,110,—,20,—
15,Stronghold,STH,"February 21, 1998","March 2, 1998",143,55,44,44,—,—,—
16,Exodus,EXO,"June 6, 1998","June 15, 1998",143,55,44,44,—,—,—
18,Urza's Saga,USG,"October 3, 1998","October 12, 1998",350,110,110,110,—,20,—
19,Urza's Legacy,ULG,"February 6, 1999","February 15, 1999",143,55,44,44,—,—,—
20,Urza's Destiny,UDS,"May 29, 1999","June 7, 1999",143,55,44,44,—,—,—
22,Mercadian Masques,MMQ,"September 25, 1999","October 4, 1999",350,110,110,110,—,20,—
23,Nemesis,NEM,"February 5, 2000","February 14, 2000",143,55,44,44,—,—,—
24,Prophecy,PCY,"May 27, 2000","June 5, 2000",143,55,44,44,—,—,—
26,Invasion,INV,"September 23, 2000","October 2, 2000",350,110,110,110,—,20,—
27,Planeshift,PLS,"January 27, 2001","February 5, 2001",143,55,44,44,—,—,—
28,Apocalypse,APC,"May 26, 2001","June 4, 2001",143,55,44,44,—,—,—
30,Odyssey,ODY,"September 22, 2001","October 1, 2001",350,110,110,110,—,20,—
31,Torment,TOR,"January 26, 2002","February 4, 2002",143,55,44,44,—,—,—
32,Judgment,JUD,"May 18, 2002","May 27, 2002",143,55,44,44,—,—,—
34,Onslaught,ONS,"September 28, 2002","October 7, 2002",350,110,110,110,—,20,—
